BR13QE,51.413205,0.012505,F,2,N,1.5,A,1.0,T,1.4,9.725,51.47, -0.0942,31.176,51.153662100000005,0.182062,438750
BR13QP,51.413934000000005,0.013040000000000001,F,2,N,1.5,A,1.0,S,1.3,9.701,51.47, -0.0942,31.237,51.153662100000005,0.182062,680000
BR13RH,51.411823999999996,0.010201,F,2,N,1.5,A,1.0,S,1.3,9.706,51.47, -0.0942,31.095,51.153662100000005,0.182062,553000
BR13RP,51.413703000000005,0.011261,L,1,N,1.5,A,1.0,S,1.3,9.624,51.47, -0.0942,31.26,51.153662100000005,0.182062,340000
BR13TF,51.413946,0.023798,L,1,N,1.5,A,1.0,F,1.0,10.283,51.47, -0.0942,30.965,51.153662100000005,0.182062,450000
BR14AS,51.41411,0.0022170000000000002,F,2,N,1.5,A,1.0,D,2.0,9.126,51.47, -0.0942,31.546,51.153662100000005,0.182062,567500
BR14AY,51.410365000000006,0.004557,L,1,N,1.5,A,1.0,F,1.0,9.53,51.47, -0.0942,31.099,51.153662100000005,0.182062,355000
BR14DR,51.416270000000004,0.018378,F,2,N,1.5,A,1.0,T,1.4,9.827,51.47, -0.0942,31.340999999999998,51.153662100000005,0.182062,510000
BR14EL,51.417959,0.014281,F,2,N,1.5,A,1.0,D,2.0,9.487,51.47, -0.0942,31.62,51.153662100000005,0.182062,635000
BR14EX,51.419931,0.006242,F,2,N,1.5,A,1.0,S,1.3,8.914,51.47, -0.0942,32.033,51.153662100000005,0.182062,675000
BR14HL,51.41748,0.005529999999999999,F,2,N,1.5,A,1.0,D,2.0,9.049,51.47, -0.0942,31.801,51.153662100000005,0.182062,650000
BR14HR,51.417946,0.005104999999999999,F,2,N,1.5,A,1.0,T,1.4,8.993,51.47, -0.0942,31.86,51.153662100000005,0.182062,495000
BR14HY,51.416512,0.005344,F,2,N,1.5,A,1.0,T,1.4,9.109,51.47, -0.0942,31.706,51.153662100000005,0.182062,450000
BR14JA,51.417066999999996,0.002823,F,2,N,1.5,A,1.0,S,1.3,8.936,51.47, -0.0942,31.831999999999997,51.153662100000005,0.182062,765000
BR14JW,51.419976,-0.0037240000000000003,F,2,N,1.5,A,1.0,S,1.3,8.382,51.47, -0.0942,31.662,51.4654953,-0.454687267,650000
BR14NJ,51.421965,0.00144,F,2,N,1.5,B,2.5,S,1.3,8.512,51.47, -0.0942,31.980999999999998,51.4654953,-0.454687267,450000
BR14NW,51.420493,0.004425,F,2,N,1.5,B,2.5,O,7.0,8.776,51.47, -0.0942,32.139,51.153662100000005,0.182062,310000
BR14RU,51.420137,0.016808,F,2,N,1.5,A,1.0,T,1.4,9.482999999999999,51.47, -0.0942,31.781,51.153662100000005,0.182062,380000
BR14SB,51.424695,0.015281999999999999,F,2,N,1.5,A,1.0,T,1.4,9.107000000000001,51.47, -0.0942,32.292,51.153662100000005,0.182062,492000
BR15AR,51.421988,0.017925,F,2,N,1.5,A,1.0,S,1.3,9.427999999999999,51.47, -0.0942,31.945,51.153662100000005,0.182062,485000
BR15BB,51.425633000000005,0.028673,F,2,N,1.5,B,2.5,T,1.4,9.841000000000001,51.47, -0.0942,32.068000000000005,51.153662100000005,0.182062,417500
BR15BX,51.42279,0.023569999999999997,F,2,N,1.5,A,1.0,S,1.3,9.704,51.47, -0.0942,31.891,51.153662100000005,0.182062,840000
BR15BX,51.42279,0.023569999999999997,F,2,N,1.5,A,1.0,T,1.4,9.704,51.47, -0.0942,31.891,51.153662100000005,0.182062,525000
BR15DG,51.427427,0.023243,F,2,N,1.5,A,1.0,T,1.4,9.415,51.47, -0.0942,32.383,51.153662100000005,0.182062,465000
BR15ES,51.428703000000006,0.005533,F,2,N,1.5,B,2.5,T,1.4,8.298,51.47, -0.0942,32.155,51.4654953,-0.454687267,310000
BR15EW,51.425554,0.012947,F,2,N,1.5,A,1.0,T,1.4,8.92,51.47, -0.0942,32.44,51.153662100000005,0.182062,378000
BR15EW,51.425554,0.012947,F,2,N,1.5,B,2.5,T,1.4,8.92,51.47, -0.0942,32.44,51.153662100000005,0.182062,310000
BR15NS,51.42432,0.008333,F,2,N,1.5,A,1.0,T,1.4,8.734,51.47, -0.0942,32.414,51.4654953,-0.454687267,360000
BR15PD,51.429056,0.0016640000000000001,F,2,N,1.5,A,1.0,T,1.4,8.052999999999999,51.47, -0.0942,31.884,51.4654953,-0.454687267,365000
BR15PQ,51.428332,0.003013,F,2,N,1.5,B,2.5,T,1.4,8.176,51.47, -0.0942,31.987,51.4654953,-0.454687267,260000
BR15QA,51.42718,-0.002187,F,2,N,1.5,A,1.0,S,1.3,7.957999999999999,51.47, -0.0942,31.647,51.4654953,-0.454687267,395000
