Pcd,Lat,Long,Duration,Old Or New,Prd Category Type,Property Type,Price
BR28AA,51.389873,0.056786,F,N,A,D,685000
BR28AX,51.393444,0.052677,F,N,A,D,975000
BR28DZ,51.384311,0.057557,F,N,A,S,455000
BR28ER,51.386115,0.04752,F,N,A,S,530000
BR28LQ,51.378677,0.044472,F,N,A,S,310000
BR28NU,51.375409,0.049801,F,N,A,S,435000
BR28PG,51.373021,0.043904,F,N,A,S,805000
BR28PL,51.368531,0.039954,F,N,A,T,580000
BR28PN,51.371968,0.040897,F,N,A,D,540000
BR28QA,51.367592,0.040128,F,N,A,S,750000
BR28QG,51.370251,0.04549,F,N,A,S,665000
BR29AT,51.393019,0.014422,F,N,A,D,980000
BR29AW,51.39727,0.016708,F,N,B,O,1025000
BR29DA,51.391531,0.009972,F,N,A,T,380000
BR29DP,51.389812,0.006936,F,N,A,S,575000
BR29DR,51.38889,0.010331,L,N,A,T,370000
BR29EE,51.39043,0.017025,F,N,A,D,1150000
BR29FL,51.395484,0.027454,F,N,A,S,618000
BR29GE,51.39713,0.020137,F,N,A,T,600000
BR29GQ,51.387305,0.03859,F,N,A,S,480000
BR29GS,51.387364,0.039326,F,N,A,T,516500
BR29JN,51.397525,0.025387,F,N,B,T,390000
BR29JS,51.399354,0.021543,F,N,A,T,653000
BR29LF,51.397255,0.027446,F,N,A,T,380000
BR29LL,51.398444,0.029425,F,N,A,S,560000
BR29PP,51.389716,0.039574,F,N,A,T,475000
BR29PY,51.390413,0.039821,F,N,A,T,427500
BR29QS,51.394436,0.034451,F,N,A,S,415000
BR29QZ,51.396204,0.039302,F,N,A,S,625000
BR29RF,51.396153,0.035505,F,N,A,T,527500
BR29SG,51.393533,0.039298,F,N,A,S,710000
BR29SN,51.390726,0.035796,F,N,A,S,447000
BR29UJ,51.386258,0.038817,F,N,A,T,520000
BR29UQ,51.386973,0.038029,L,N,A,F,320000
BR31AJ,51.406048,-0.028803,F,N,A,T,750000
BR31BY,51.41853,-0.034191,F,N,A,S,740000
BR31HP,51.410913,-0.028795,L,N,A,F,407000
BR31JE,51.411176,-0.043997,F,N,A,D,1225000
BR31JW,51.409033,-0.030371,F,N,A,T,480000
BR31JW,51.409033,-0.030371,F,N,A,T,530000
BR31LS,51.411991,-0.042683,F,N,A,T,605000
BR31LT,51.413625,-0.044713,F,N,A,S,995000
BR31NB,51.412376,-0.02702,L,N,A,F,440000
BR31NR,51.417329,-0.033854,L,N,A,F,417000
BR31PP,51.414413,-0.025698,L,N,A,F,350000
BR31QG,51.413918,-0.028881,L,N,A,F,390000
BR31QH,51.415798,-0.032122,F,N,A,T,1175000
BR31RN,51.415701,-0.029567,L,N,A,F,375000
BR31RQ,51.416805,-0.031576,L,N,A,F,353800
BR31RZ,51.420011,-0.024894,L,N,A,F,280000
BR31TF,51.42199,-0.021213,L,N,A,F,242500
BR33HA,51.390288,-0.037127,F,N,A,T,560000
BR33HE,51.391886,-0.035319,F,N,A,T,523000
BR33HH,51.3975,-0.03551,F,N,A,T,550000
BR33NG,51.404831,-0.027029,F,N,A,D,1149500
BR33PH,51.398866,-0.030635,F,N,A,S,675000
BR33PT,51.401776,-0.037886,F,N,A,S,617500
BR33PY,51.398885,-0.034976,F,N,A,T,700000
BR33PY,51.398885,-0.034976,F,N,A,T,671500
BR33RG,51.398012,-0.041353,F,N,A,T,520000
BR33RL,51.393129,-0.042999,F,N,A,T,535000
BR33RT,51.39066,-0.042156,F,N,A,T,490000
BR33RU,51.3898,-0.040209,F,N,A,S,525000
BR33RW,51.391814,-0.042308,F,N,A,T,474000
BR33RZ,51.390712,-0.04362,F,N,A,T,570000
BR33SB,51.39186,-0.045051,F,N,A,T,500000
BR33XD,51.394477,-0.016176,F,N,A,D,1075000
BR34AD,51.396988,-0.04627,F,N,A,S,437500
BR34AS,51.397522,-0.044853,F,N,A,T,410000
BR34AW,51.394318,-0.04256,F,N,A,S,415000
BR34DN,51.39994,-0.048028,F,N,A,T,315000
BR34EA,51.401221,-0.050432,F,N,A,S,568000
BR34FB,51.399351,-0.04236,L,N,A,F,315000
BR34HP,51.403575,-0.037938,F,N,A,T,750000
BR34HP,51.403575,-0.037938,F,N,A,T,650000
