Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR13DE,51.402174,0.022257,F,2,N,2,A,1,S,1.5,11.047,1,51.47,?-0.0942,29.785,0,51.1536621,0.182062,735000
BR13DN,51.404012,0.026767,F,2,N,2,A,1,D,2,11.142,1,51.47,?-0.0942,29.86,0,51.1536621,0.182062,995000
BR13DS,51.405273,0.023487,F,2,N,2,A,1,S,1.5,10.879,1,51.47,?-0.0942,30.073,0,51.1536621,0.182062,750000
BR13DY,51.406415,0.029217,L,1,N,2,A,1,F,1,11.098,1,51.47,?-0.0942,30.048,0,51.1536621,0.182062,177500
BR13EZ,51.40539,0.027144,F,2,N,2,A,1,D,2,11.062,1,51.47,?-0.0942,29.993,0,51.1536621,0.182062,990000
BR13HY,51.410428,0.024922,F,2,N,2,A,1,S,1.5,10.585,1,51.47,?-0.0942,30.571,0,51.1536621,0.182062,700000
BR13JJ,51.410681,0.020202,F,2,N,2,A,1,S,1.5,10.314,1,51.47,?-0.0942,30.716,0,51.1536621,0.182062,1285000
BR13JL,51.41126,0.021565,L,1,N,2,A,1,F,1,10.346,1,51.47,?-0.0942,30.742,0,51.1536621,0.182062,330000
BR13LD,51.409623,0.0226,F,2,N,2,A,1,T,1.5,10.517,1,51.47,?-0.0942,30.546,0,51.1536621,0.182062,420000
BR13QE,51.413205,0.012505,F,2,N,2,A,1,T,1.5,9.725,1,51.47,?-0.0942,31.176,0,51.1536621,0.182062,407000
BR13QE,51.413205,0.012505,F,2,N,2,A,1,T,1.5,9.725,1,51.47,?-0.0942,31.176,0,51.1536621,0.182062,430000
BR13QE,51.413205,0.012505,F,2,N,2,A,1,T,1.5,9.725,1,51.47,?-0.0942,31.176,0,51.1536621,0.182062,438750
BR13QP,51.413934,0.01304,F,2,N,2,A,1,S,1.5,9.701,1,51.47,?-0.0942,31.237,0,51.1536621,0.182062,680000
BR13RH,51.411824,0.010201,F,2,N,2,A,1,S,1.5,9.706,1,51.47,?-0.0942,31.095,0,51.1536621,0.182062,553000
BR13RP,51.413703,0.011261,L,1,N,2,A,1,S,1.5,9.624,1,51.47,?-0.0942,31.26,0,51.1536621,0.182062,340000
BR13TF,51.413946,0.023798,L,1,N,2,A,1,F,1,10.283,1,51.47,?-0.0942,30.965,0,51.1536621,0.182062,450000
BR14AS,51.41411,0.002217,F,2,N,2,A,1,D,2,9.126,1,51.47,?-0.0942,31.546,0,51.1536621,0.182062,567500
BR14AY,51.410365,0.004557,L,1,N,2,A,1,F,1,9.53,1,51.47,?-0.0942,31.099,0,51.1536621,0.182062,355000
BR14DR,51.41627,0.018378,F,2,N,2,A,1,T,1.5,9.827,1,51.47,?-0.0942,31.341,0,51.1536621,0.182062,510000
BR14EL,51.417959,0.014281,F,2,N,2,A,1,D,2,9.487,1,51.47,?-0.0942,31.62,0,51.1536621,0.182062,635000
BR14EX,51.419931,0.006242,F,2,N,2,A,1,S,1.5,8.914,1,51.47,?-0.0942,32.033,0,51.1536621,0.182062,675000
BR14HL,51.41748,0.00553,F,2,N,2,A,1,D,2,9.049,1,51.47,?-0.0942,31.801,0,51.1536621,0.182062,650000
BR14HR,51.417946,0.005105,F,2,N,2,A,1,T,1.5,8.993,1,51.47,?-0.0942,31.86,0,51.1536621,0.182062,495000
BR14HY,51.416512,0.005344,F,2,N,2,A,1,T,1.5,9.109,1,51.47,?-0.0942,31.706,0,51.1536621,0.182062,450000
BR14JA,51.417067,0.002823,F,2,N,2,A,1,S,1.5,8.936,1,51.47,?-0.0942,31.832,0,51.1536621,0.182062,765000
BR14JW,51.419976,-0.003724,F,2,N,2,A,1,S,1.5,8.382,1,51.47,?-0.0942,31.662,0,51.4654953,-0.454687267,650000
BR14NJ,51.421965,0.00144,F,2,N,2,B,2.5,S,1.5,8.512,1,51.47,?-0.0942,31.981,0,51.4654953,-0.454687267,450000
BR14NW,51.420493,0.004425,F,2,N,2,B,2.5,O,7,8.776,1,51.47,?-0.0942,32.139,0,51.1536621,0.182062,310000
