pcd,price,lng,lat
BR20UD,325000,0.000471,51.392503
BR20UR,260000,0.008163,51.394863
BR20XA,330000,-0.00471,51.40493
BR20XB,268750,-0.004397,51.404843
BR20XJ,251000,-0.000856,51.403614
BR20XN,240000,-0.00299,51.404145
BR20XX,360000,-0.001144,51.403601
BR20YA,295000,0.011889,51.396237
BR26BF,487500,0.031266,51.357252
BR26HU,588000,0.036568,51.352762
BR27BH,280000,0.019514,51.375791
BR27BN,385000,0.020954,51.376837
BR27ES,316000,0.010022,51.375595
BR27LD,305000,0.017629,51.378998
BR27LP,210000,0.016852,51.377348
BR28AT,292500,0.05127,51.390276
BR28EH,190000,0.049011,51.388274
BR28FF,128000,0.040109,51.383321
BR28JA,205000,0.042616,51.387666
BR28JJ,315000,0.044344,51.38483
BR28JL,290000,0.0442,51.385156
BR28JN,290000,0.041565,51.383431
BR28LE,261000,0.04671,51.37826
BR28PN,132750,0.040897,51.371968
BR29AS,430000,0.014894,51.393623
BR29BL,290000,0.014847,51.389613
BR29BN,317500,0.014772,51.3892
BR29BP,120000,0.01582,51.389191
BR29BS,150000,0.015673,51.390093
BR29BT,287500,0.015444,51.390106
BR29BU,430000,0.021493,51.397223
BR29BW,275000,0.014997,51.389098
BR29DB,300000,0.009102,51.390701
BR29EX,292500,0.020974,51.397529
BR29FJ,360200,0.023897,51.395347
BR29FN,116500,0.027625,51.396443
BR29FS,338000,0.027443,51.395906
BR29FY,315000,0.036592,51.388266
BR29FZ,285000,0.040038,51.387549
BR29GA,390000,0.019346,51.398088
BR29GT,275000,0.037942,51.387262
BR29GW,388500,0.021904,51.397756
BR29JG,386000,0.024828,51.39561
BR29JQ,287000,0.026391,51.395826
BR29LH,212500,0.031063,51.398119
BR29LR,228000,0.029624,51.393845
BR29NB,305000,0.026934,51.395771
BR29PG,360000,0.037424,51.389519
BR29PQ,275000,0.039323,51.388596
BR29PR,291666.67,0.040206,51.389759
BR29QQ,230000,0.036772,51.39168
BR29RN,270000,0.031809,51.392548
BR29RX,126000,0.035624,51.393993
BR29SB,340000,0.03837,51.392048
BR29SN,230000,0.035796,51.390726
BR29SW,346000,0.036288,51.390159
BR29TP,265000,0.0394,51.387102
BR29TS,282000,0.039447,51.386858
BR29TU,312875,0.03981,51.385647
BR29UJ,314250,0.038817,51.386258
BR29UL,272000,0.039415,51.385815
BR29UP,313000,0.03913,51.386828
BR29UQ,313333.33,0.038029,51.386973
BR29US,315000,0.038364,51.386742
BR29UT,335000,0.038684,51.386512
BR29UW,313750,0.037608,51.386863
BR29UY,465555.56,0.015,51.3994
BR29UZ,420000,0.0148,51.3998
BR29YF,411519.57,0.0155,51.3998
BR31AU,434150,-0.034079,51.414778
BR31BS,350000,-0.025224,51.41802
BR31FZ,425000,-0.033008,51.414599
BR31HB,360000,-0.030951,51.410922
BR31HE,270000,-0.032942,51.411108
BR31HP,407000,-0.028795,51.410913
BR31HS,335000,-0.030013,51.410007
BR31HU,358000,-0.03173,51.409541
BR31JE,333500,-0.043997,51.411176
BR31LD,420000,-0.033202,51.415114
BR31LR,415000,-0.041093,51.412189
BR31LX,212000,-0.031455,51.412252
BR31NB,440000,-0.02702,51.412376
BR31NE,328682.5,-0.030893,51.412288
BR31NF,315000,-0.031901,51.413591
BR31NP,340000,-0.033325,51.416268
BR31NQ,355000,-0.030175,51.412923
BR31NR,392333.33,-0.033854,51.417329
BR31PB,420000,-0.0293,51.411865
BR31PP,350000,-0.025698,51.414413
BR31PS,345000,-0.025789,51.414639
BR31PU,285000,-0.024928,51.413608
BR31PZ,300000,-0.025215,51.414557
BR31QB,354000,-0.025895,51.415127
BR31QD,343250,-0.029234,51.414733
BR31QF,305000,-0.025935,51.413194
BR31QG,390000,-0.028881,51.413918
BR31QL,265000,-0.033443,51.415523
BR31QQ,420000,-0.030566,51.414522
BR31RA,372500,-0.031289,51.416782
BR31RB,400000,-0.02869,51.415677
BR31RN,378125,-0.029567,51.415701
